Freq.	V(vout3)/(V(vp)-V(vm))
6.45654229034654e-002	(-8.77000403607317e+000dB,-3.62162754857255e+000°)
6.60693448007594e-002	(-8.36933943782692e+000dB,-3.70638590392417e+000°)
6.76082975391980e-002	(-7.96864368083883e+000dB,-3.79314720636749e+000°)
6.91830970918935e-002	(-7.56791531235401e+000dB,-3.88196016412169e+000°)
7.07945784384136e-002	(-7.16715281279001e+000dB,-3.97287476734658e+000°)
7.24435960074988e-002	(-6.76635459263160e+000dB,-4.06594232860233e+000°)
7.41310241300916e-002	(-6.36551898931817e+000dB,-4.16121552501509e+000°)
7.58577575029182e-002	(-5.96464426423457e+000dB,-4.25874844224641e+000°)
7.76247116628690e-002	(-5.56372859834350e+000dB,-4.35859662036721e+000°)
7.94328234724279e-002	(-5.16277008998788e+000dB,-4.46081710174304e+000°)
8.12830516164097e-002	(-4.76176675048932e+000dB,-4.56546848104876e+000°)
8.31763771102669e-002	(-4.36071650013599e+000dB,-4.67261095753591e+000°)
8.51138038202374e-002	(-3.95961716483985e+000dB,-4.78230638967919e+000°)
8.70963589956078e-002	(-3.55846647143739e+000dB,-4.89461835235206e+000°)
8.91250938133743e-002	(-3.15726204366269e+000dB,-5.00961219667197e+000°)
9.12010839355907e-002	(-2.75600139712409e+000dB,-5.12735511268065e+000°)
9.33254300796988e-002	(-2.35468193566669e+000dB,-5.24791619502953e+000°)
9.54992586021433e-002	(-1.95330094589628e+000dB,-5.37136651185488e+000°)
9.77237220955808e-002	(-1.55185559209474e+000dB,-5.49777917703313e+000°)
9.99999999999997e-002	(-1.15034291139998e+000dB,-5.62722942603211e+000°)
1.02329299228075e-001	(-7.48759808244343e-001dB,-5.75979469557759e+000°)
1.04712854805090e-001	(-3.47103048444331e-001dB,-5.89555470737544e+000°)
1.07151930523760e-001	(5.46307457690844e-002dB,-6.03459155614535e+000°)
1.09647819614318e-001	(4.56445102482577e-001dB,-6.17698980224141e+000°)
1.12201845430196e-001	(8.58343705377342e-001dB,-6.32283656914987e+000°)
1.14815362149688e-001	(1.26033040129076e+000dB,-6.47222164618161e+000°)
1.17489755493953e-001	(1.66240920553266e+000dB,-6.62523759669221e+000°)
1.20226443461741e-001	(2.06458430931528e+000dB,-6.78197987219303e+000°)
1.23026877081238e-001	(2.46686008650504e+000dB,-6.94254693273498e+000°)
1.25892541179416e-001	(2.86924110088457e+000dB,-7.10704037398375e+000°)
1.28824955169313e-001	(3.27173211285449e+000dB,-7.27556506142355e+000°)
1.31825673855640e-001	(3.67433808758254e+000dB,-7.44822927216994e+000°)
1.34896288259165e-001	(4.07706420262939e+000dB,-7.62514484489362e+000°)
1.38038426460288e-001	(4.47991585502683e+000dB,-7.80642733840952e+000°)
1.41253754462275e-001	(4.88289866971157e+000dB,-7.99219619950591e+000°)
1.44543977074592e-001	(5.28601850772343e+000dB,-8.18257494065237e+000°)
1.47910838816820e-001	(5.68928147372366e+000dB,-8.37769132824805e+000°)
1.51356124843620e-001	(6.09269392497265e+000dB,-8.57767758213860e+000°)
1.54881661891248e-001	(6.49626247840585e+000dB,-8.78267058717143e+000°)
1.58489319246111e-001	(6.89999402055438e+000dB,-8.99281211762624e+000°)
1.62181009735892e-001	(7.30389571369127e+000dB,-9.20824907539502e+000°)
1.65958690743755e-001	(7.70797500597141e+000dB,-9.42913374288964e+000°)
1.69824365246174e-001	(8.11223963752597e+000dB,-9.65562405167342e+000°)
1.73780082874937e-001	(8.51669765006869e+000dB,-9.88788386793756e+000°)
1.77827941003892e-001	(8.92135739230697e+000dB,-1.01260832959849e+001°)
1.81970085860998e-001	(9.32622752878747e+000dB,-1.03703990009867e+001°)
